Target obs: 100, Mean Time: 0.0579, Std Dev: 0.0000
Target obs: 200, Mean Time: 0.0893, Std Dev: 0.0000
Target obs: 300, Mean Time: 0.1384, Std Dev: 0.0000
Target obs: 400, Mean Time: 0.1789, Std Dev: 0.0000
Target obs: 500, Mean Time: 0.2157, Std Dev: 0.0000
Target obs: 600, Mean Time: 0.2784, Std Dev: 0.0000
Target obs: 700, Mean Time: 0.3340, Std Dev: 0.0000
Target obs: 800, Mean Time: 0.3532, Std Dev: 0.0000
Target obs: 900, Mean Time: 0.3838, Std Dev: 0.0000
Target obs: 1000, Mean Time: 0.4411, Std Dev: 0.0000
Target obs: 1100, Mean Time: 0.4796, Std Dev: 0.0000
Target obs: 1200, Mean Time: 0.5437, Std Dev: 0.0000
Target obs: 1300, Mean Time: 0.5832, Std Dev: 0.0000
Target obs: 1400, Mean Time: 0.6260, Std Dev: 0.0000
Target obs: 1500, Mean Time: 0.6601, Std Dev: 0.0000
Target obs: 1600, Mean Time: 0.7250, Std Dev: 0.0000
Target obs: 1700, Mean Time: 0.7633, Std Dev: 0.0000
Target obs: 1800, Mean Time: 0.8037, Std Dev: 0.0000
Target obs: 1900, Mean Time: 0.8692, Std Dev: 0.0000
Target obs: 2000, Mean Time: 0.9158, Std Dev: 0.0000
Target obs: 2100, Mean Time: 0.9553, Std Dev: 0.0000
Target obs: 2200, Mean Time: 0.9751, Std Dev: 0.0000
Target obs: 2300, Mean Time: 1.0785, Std Dev: 0.0000
Target obs: 2400, Mean Time: 1.1005, Std Dev: 0.0000
Target obs: 2500, Mean Time: 1.1095, Std Dev: 0.0000
Target obs: 2600, Mean Time: 1.2063, Std Dev: 0.0000
Target obs: 2700, Mean Time: 1.2413, Std Dev: 0.0000
Target obs: 2800, Mean Time: 1.2730, Std Dev: 0.0000
Target obs: 2900, Mean Time: 1.3356, Std Dev: 0.0000
Target obs: 3000, Mean Time: 1.3760, Std Dev: 0.0000
Target obs: 3100, Mean Time: 1.4567, Std Dev: 0.0000
Target obs: 3200, Mean Time: 1.4791, Std Dev: 0.0000
Target obs: 3300, Mean Time: 1.5163, Std Dev: 0.0000
Target obs: 3400, Mean Time: 1.5697, Std Dev: 0.0000
Target obs: 3500, Mean Time: 1.6287, Std Dev: 0.0000
Target obs: 3600, Mean Time: 1.7331, Std Dev: 0.0000
Target obs: 3700, Mean Time: 1.7357, Std Dev: 0.0000
Target obs: 3800, Mean Time: 1.8240, Std Dev: 0.0000
Target obs: 3900, Mean Time: 1.8491, Std Dev: 0.0000
Target obs: 4000, Mean Time: 1.9146, Std Dev: 0.0000
Target obs: 4100, Mean Time: 1.9608, Std Dev: 0.0000
Target obs: 4200, Mean Time: 1.9467, Std Dev: 0.0000
Target obs: 4300, Mean Time: 1.9755, Std Dev: 0.0000
Target obs: 4400, Mean Time: 2.0371, Std Dev: 0.0000
Target obs: 4500, Mean Time: 2.0615, Std Dev: 0.0000
Target obs: 4600, Mean Time: 2.1341, Std Dev: 0.0000
Target obs: 4700, Mean Time: 2.2076, Std Dev: 0.0000
Target obs: 4800, Mean Time: 2.1845, Std Dev: 0.0000
Target obs: 4900, Mean Time: 2.2587, Std Dev: 0.0000
Target obs: 5000, Mean Time: 2.3055, Std Dev: 0.0000
Target obs: 5100, Mean Time: 2.3624, Std Dev: 0.0000
Target obs: 5200, Mean Time: 2.4396, Std Dev: 0.0000
Target obs: 5300, Mean Time: 2.3999, Std Dev: 0.0000
Target obs: 5400, Mean Time: 2.4226, Std Dev: 0.0000
Target obs: 5500, Mean Time: 2.4635, Std Dev: 0.0000
Target obs: 5600, Mean Time: 2.6081, Std Dev: 0.0000
Target obs: 5700, Mean Time: 2.6800, Std Dev: 0.0000
Target obs: 5800, Mean Time: 2.7212, Std Dev: 0.0000
Target obs: 5900, Mean Time: 2.7229, Std Dev: 0.0000
Target obs: 6000, Mean Time: 2.8035, Std Dev: 0.0000
Target obs: 6100, Mean Time: 2.7612, Std Dev: 0.0000
Target obs: 6200, Mean Time: 2.8045, Std Dev: 0.0000
Target obs: 6300, Mean Time: 2.8575, Std Dev: 0.0000
Target obs: 6400, Mean Time: 2.9523, Std Dev: 0.0000
Target obs: 6500, Mean Time: 2.9488, Std Dev: 0.0000
Target obs: 6600, Mean Time: 3.0817, Std Dev: 0.0000
Target obs: 6700, Mean Time: 3.1256, Std Dev: 0.0000
Target obs: 6800, Mean Time: 3.1551, Std Dev: 0.0000
Target obs: 6900, Mean Time: 3.1260, Std Dev: 0.0000
Target obs: 7000, Mean Time: 3.2688, Std Dev: 0.0000
Target obs: 7100, Mean Time: 3.2500, Std Dev: 0.0000
Target obs: 7200, Mean Time: 3.2872, Std Dev: 0.0000
Target obs: 7300, Mean Time: 3.2978, Std Dev: 0.0000
Target obs: 7400, Mean Time: 3.3698, Std Dev: 0.0000
Target obs: 7500, Mean Time: 3.5098, Std Dev: 0.0000
Target obs: 7600, Mean Time: 3.5715, Std Dev: 0.0000
Target obs: 7700, Mean Time: 3.6100, Std Dev: 0.0000
Target obs: 7800, Mean Time: 3.5536, Std Dev: 0.0000
Target obs: 7900, Mean Time: 3.6929, Std Dev: 0.0000
Target obs: 8000, Mean Time: 3.7267, Std Dev: 0.0000
Target obs: 8100, Mean Time: 3.7671, Std Dev: 0.0000
Target obs: 8200, Mean Time: 3.8860, Std Dev: 0.0000
Target obs: 8300, Mean Time: 3.9883, Std Dev: 0.0000
Target obs: 8400, Mean Time: 4.0147, Std Dev: 0.0000
Target obs: 8500, Mean Time: 4.1054, Std Dev: 0.0000
Target obs: 8600, Mean Time: 4.1581, Std Dev: 0.0000
Target obs: 8700, Mean Time: 4.1870, Std Dev: 0.0000
Target obs: 8800, Mean Time: 4.1845, Std Dev: 0.0000
Target obs: 8900, Mean Time: 4.3203, Std Dev: 0.0000
Target obs: 9000, Mean Time: 4.4310, Std Dev: 0.0000
Target obs: 9100, Mean Time: 4.4738, Std Dev: 0.0000
Target obs: 9200, Mean Time: 4.4424, Std Dev: 0.0000
Target obs: 9300, Mean Time: 4.5817, Std Dev: 0.0000
Target obs: 9400, Mean Time: 4.5824, Std Dev: 0.0000
Target obs: 9500, Mean Time: 4.5651, Std Dev: 0.0000
Target obs: 9600, Mean Time: 4.6213, Std Dev: 0.0000
Target obs: 9700, Mean Time: 4.6645, Std Dev: 0.0000
Target obs: 9800, Mean Time: 4.7077, Std Dev: 0.0000
Target obs: 9900, Mean Time: 4.8107, Std Dev: 0.0000
Target obs: 10000, Mean Time: 4.8271, Std Dev: 0.0000
