Target obs: 100, Mean Time: 0.1089, Std Dev: 0.0000
Target obs: 200, Mean Time: 0.1246, Std Dev: 0.0000
Target obs: 300, Mean Time: 0.1560, Std Dev: 0.0000
Target obs: 400, Mean Time: 0.1896, Std Dev: 0.0000
Target obs: 500, Mean Time: 0.2108, Std Dev: 0.0000
Target obs: 600, Mean Time: 0.2439, Std Dev: 0.0000
Target obs: 700, Mean Time: 0.2629, Std Dev: 0.0000
Target obs: 800, Mean Time: 0.2958, Std Dev: 0.0000
Target obs: 900, Mean Time: 0.3195, Std Dev: 0.0000
Target obs: 1000, Mean Time: 0.3495, Std Dev: 0.0000
Target obs: 1100, Mean Time: 0.3766, Std Dev: 0.0000
Target obs: 1200, Mean Time: 0.3982, Std Dev: 0.0000
Target obs: 1300, Mean Time: 0.4293, Std Dev: 0.0000
Target obs: 1400, Mean Time: 0.4388, Std Dev: 0.0000
Target obs: 1500, Mean Time: 0.4612, Std Dev: 0.0000
Target obs: 1600, Mean Time: 0.4871, Std Dev: 0.0000
Target obs: 1700, Mean Time: 0.5237, Std Dev: 0.0000
Target obs: 1800, Mean Time: 0.5532, Std Dev: 0.0000
Target obs: 1900, Mean Time: 0.5646, Std Dev: 0.0000
Target obs: 2000, Mean Time: 0.5918, Std Dev: 0.0000
Target obs: 2100, Mean Time: 0.6192, Std Dev: 0.0000
Target obs: 2200, Mean Time: 0.6387, Std Dev: 0.0000
Target obs: 2300, Mean Time: 0.6794, Std Dev: 0.0000
Target obs: 2400, Mean Time: 0.6951, Std Dev: 0.0000
Target obs: 2500, Mean Time: 0.7223, Std Dev: 0.0000
Target obs: 2600, Mean Time: 0.7738, Std Dev: 0.0000
Target obs: 2700, Mean Time: 0.8060, Std Dev: 0.0000
Target obs: 2800, Mean Time: 0.8287, Std Dev: 0.0000
Target obs: 2900, Mean Time: 0.8572, Std Dev: 0.0000
Target obs: 3000, Mean Time: 0.8834, Std Dev: 0.0000
Target obs: 3100, Mean Time: 0.9029, Std Dev: 0.0000
Target obs: 3200, Mean Time: 0.9249, Std Dev: 0.0000
Target obs: 3300, Mean Time: 0.9567, Std Dev: 0.0000
Target obs: 3400, Mean Time: 0.9819, Std Dev: 0.0000
Target obs: 3500, Mean Time: 1.0155, Std Dev: 0.0000
Target obs: 3600, Mean Time: 1.0556, Std Dev: 0.0000
Target obs: 3700, Mean Time: 1.0805, Std Dev: 0.0000
Target obs: 3800, Mean Time: 1.0894, Std Dev: 0.0000
Target obs: 3900, Mean Time: 1.1304, Std Dev: 0.0000
Target obs: 4000, Mean Time: 1.1501, Std Dev: 0.0000
Target obs: 4100, Mean Time: 1.1712, Std Dev: 0.0000
Target obs: 4200, Mean Time: 1.2014, Std Dev: 0.0000
Target obs: 4300, Mean Time: 1.2247, Std Dev: 0.0000
Target obs: 4400, Mean Time: 1.2620, Std Dev: 0.0000
Target obs: 4500, Mean Time: 1.2904, Std Dev: 0.0000
Target obs: 4600, Mean Time: 1.3033, Std Dev: 0.0000
Target obs: 4700, Mean Time: 1.3412, Std Dev: 0.0000
Target obs: 4800, Mean Time: 1.3674, Std Dev: 0.0000
Target obs: 4900, Mean Time: 1.3812, Std Dev: 0.0000
Target obs: 5000, Mean Time: 1.4123, Std Dev: 0.0000
Target obs: 5100, Mean Time: 1.4417, Std Dev: 0.0000
Target obs: 5200, Mean Time: 1.4654, Std Dev: 0.0000
Target obs: 5300, Mean Time: 1.4969, Std Dev: 0.0000
Target obs: 5400, Mean Time: 1.5165, Std Dev: 0.0000
Target obs: 5500, Mean Time: 1.5573, Std Dev: 0.0000
Target obs: 5600, Mean Time: 1.5790, Std Dev: 0.0000
Target obs: 5700, Mean Time: 1.5913, Std Dev: 0.0000
Target obs: 5800, Mean Time: 1.6184, Std Dev: 0.0000
Target obs: 5900, Mean Time: 1.6423, Std Dev: 0.0000
Target obs: 6000, Mean Time: 1.6649, Std Dev: 0.0000
Target obs: 6100, Mean Time: 1.6382, Std Dev: 0.0000
Target obs: 6200, Mean Time: 1.6570, Std Dev: 0.0000
Target obs: 6300, Mean Time: 1.7103, Std Dev: 0.0000
Target obs: 6400, Mean Time: 1.7128, Std Dev: 0.0000
Target obs: 6500, Mean Time: 1.7522, Std Dev: 0.0000
Target obs: 6600, Mean Time: 1.7855, Std Dev: 0.0000
Target obs: 6700, Mean Time: 1.8536, Std Dev: 0.0000
Target obs: 6800, Mean Time: 1.8843, Std Dev: 0.0000
Target obs: 6900, Mean Time: 1.9058, Std Dev: 0.0000
Target obs: 7000, Mean Time: 1.9322, Std Dev: 0.0000
Target obs: 7100, Mean Time: 1.9269, Std Dev: 0.0000
Target obs: 7200, Mean Time: 1.9312, Std Dev: 0.0000
Target obs: 7300, Mean Time: 1.9781, Std Dev: 0.0000
Target obs: 7400, Mean Time: 2.0354, Std Dev: 0.0000
Target obs: 7500, Mean Time: 2.0671, Std Dev: 0.0000
Target obs: 7600, Mean Time: 2.0971, Std Dev: 0.0000
Target obs: 7700, Mean Time: 2.0968, Std Dev: 0.0000
Target obs: 7800, Mean Time: 2.0922, Std Dev: 0.0000
Target obs: 7900, Mean Time: 2.1164, Std Dev: 0.0000
Target obs: 8000, Mean Time: 2.1566, Std Dev: 0.0000
Target obs: 8100, Mean Time: 2.1768, Std Dev: 0.0000
Target obs: 8200, Mean Time: 2.1872, Std Dev: 0.0000
Target obs: 8300, Mean Time: 2.2219, Std Dev: 0.0000
Target obs: 8400, Mean Time: 2.2813, Std Dev: 0.0000
